物件名,エリア,築年数,階数,URL
モルエランウィンズＢ,八丁平１丁目,16,2階建,https://www.chintaistyle.jp/result/detail_201018898594.html?jis=01205
レオパレス三田Ａ館,母恋南町３丁目,16,2階建,https://www.chintaistyle.jp/result/detail_201018983277.html?jis=01205
レオパレス三田Ｂ館,母恋南町３丁目,16,2階建,https://www.chintaistyle.jp/result/detail_201018574059.html?jis=01205
オークヴィラ,水元町,16,3階建,https://www.chintaistyle.jp/result/detail_201018437027.html?jis=01205
モルエランウィンズＡ,八丁平１丁目,16,2階建,https://www.chintaistyle.jp/result/detail_201018586714.html?jis=01205
モルエランウィンズＡ,八丁平１丁目,16,2階建,https://www.chintaistyle.jp/result/detail_201018586714.html?jis=01205
ディアコート,日の出町２丁目,16,2階建,https://www.chintaistyle.jp/result/detail_201018763145.html?jis=01205
ベルシーヌ祝津,祝津町２丁目,16,2階建,https://www.chintaistyle.jp/result/detail_201018920866.html?jis=01205
大昭寿ハイツ,寿町２丁目,16,2階建,https://www.chintaistyle.jp/result/detail_201019061050.html?jis=01205
フローラＥ棟,日の出町１丁目,17,2階建,https://www.chintaistyle.jp/result/detail_201019092669.html?jis=01205
ＥＬＧＲＡＮＤＥＳぽち☆たまＷＯＲＬＤ２３,寿町１丁目,17,6階建,https://www.chintaistyle.jp/result/detail_201019061047.html?jis=01205
サンステージ,祝津町２丁目,17,2階建,https://www.chintaistyle.jp/result/detail_201018976094.html?jis=01205
メゾン・アンソレイユ,高砂町３丁目,17,2階建,https://www.chintaistyle.jp/result/detail_201018771016.html?jis=01205
ラプラセ・ドゥ,輪西町１丁目,17,3階建,https://www.chintaistyle.jp/result/detail_201018771152.html?jis=01205
コーポオアシス,港南町１丁目,17,2階建,https://www.chintaistyle.jp/result/detail_201018920431.html?jis=01205
アスターＭ,小橋内町１丁目,17,2階建,https://www.chintaistyle.jp/result/detail_201017315394.html?jis=01205
キャメルハウス,高砂町１丁目,18,3階建,https://www.chintaistyle.jp/result/detail_201018918450.html?jis=01205
ラ・フォーレ,日の出町３丁目,18,2階建,https://www.chintaistyle.jp/result/detail_201018771505.html?jis=01205
キャメルハウス,高砂町１丁目,18,3階建,https://www.chintaistyle.jp/result/detail_201018918450.html?jis=01205
ＭＡＧＬＩＯＮＥ,寿町１丁目,18,2階建,https://www.chintaistyle.jp/result/detail_201019077014.html?jis=01205
プレジュール・えとも,絵鞆町２丁目,18,2階建,https://www.chintaistyle.jp/result/detail_201018920428.html?jis=01205
はまだ荘,水元町,18,2階建,https://www.chintaistyle.jp/result/detail_201018311205.html?jis=01205
ポートアベニュー,港南町１丁目,18,2階建,https://www.chintaistyle.jp/result/detail_201018920436.html?jis=01205
Ｌ・オレンジコート,水元町,18,2階建,https://www.chintaistyle.jp/result/detail_201018662162.html?jis=01205
Ｌ・オレンジコート,水元町,18,2階建,https://www.chintaistyle.jp/result/detail_201018662162.html?jis=01205
プランタン０４,本輪西町２丁目,19,2階建,https://www.chintaistyle.jp/result/detail_201018771143.html?jis=01205
ラグジュアリースペース,幕西町,19,3階建,https://www.chintaistyle.jp/result/detail_201018790176.html?jis=01205
レオパレス三田,母恋南町５丁目,19,2階建,https://www.chintaistyle.jp/result/detail_201017315082.html?jis=01205
ＢＬＵＥウエスト,絵鞆町２丁目,19,2階建,https://www.chintaistyle.jp/result/detail_201018920424.html?jis=01205
ハイツ夕陽ヶ丘,絵鞆町２丁目,19,2階建,https://www.chintaistyle.jp/result/detail_201018920828.html?jis=01205
シーサイドハイツ,寿町３丁目,20,2階建,https://www.chintaistyle.jp/result/detail_201019101671.html?jis=01205
グランデール,宮の森町４丁目,20,3階建,https://www.chintaistyle.jp/result/detail_201019101699.html?jis=01205
ハイムハピネス,港南町１丁目,20,3階建,https://www.chintaistyle.jp/result/detail_201018921148.html?jis=01205
クローバーハイツⅡ号棟,増市町１丁目,20,2階建,https://www.chintaistyle.jp/result/detail_201018920521.html?jis=01205
プレステージ,山手町１丁目,20,2階建,https://www.chintaistyle.jp/result/detail_201018771573.html?jis=01205
ヴィラ中島本町,中島本町３丁目,20,2階建,https://www.chintaistyle.jp/result/detail_201018771492.html?jis=01205
ラビットハイム,高砂町１丁目,20,2階建,https://www.chintaistyle.jp/result/detail_201018770998.html?jis=01205
秀弐番館,知利別町１丁目,21,7階建,https://www.chintaistyle.jp/result/detail_201018771748.html?jis=01205
ＴＵＲＦⅡ,本輪西町３丁目,21,2階建,https://www.chintaistyle.jp/result/detail_201018662251.html?jis=01205
クローバーハイツⅠ号棟,増市町１丁目,21,2階建,https://www.chintaistyle.jp/result/detail_201018920923.html?jis=01205
ＴＵＲＦⅡ,本輪西町３丁目,21,2階建,https://www.chintaistyle.jp/result/detail_201018662251.html?jis=01205
マリンハイツＫ,築地町,21,2階建,https://www.chintaistyle.jp/result/detail_201018988680.html?jis=01205
グランドハイムぽちたま２１,八丁平５丁目,21,2階建,https://www.chintaistyle.jp/result/detail_201018920611.html?jis=01205
プレイス本所,寿町２丁目,21,3階建,https://www.chintaistyle.jp/result/detail_201018945202.html?jis=01205
ビラ・ウエストタワー,日の出町２丁目,22,7階建,https://www.chintaistyle.jp/result/detail_201019083683.html?jis=01205
コーポハーバー,御崎町２丁目,22,3階建,https://www.chintaistyle.jp/result/detail_201018920784.html?jis=01205
母恋グランドハイツ,母恋北町１丁目,22,3階建,https://www.chintaistyle.jp/result/detail_201018771082.html?jis=01205
フレンドコート,高砂町５丁目,22,2階建,https://www.chintaistyle.jp/result/detail_201018771051.html?jis=01205
コーポアイリス,新富町１丁目,22,2階建,https://www.chintaistyle.jp/result/detail_201018642991.html?jis=01205
コーポアイリス,新富町１丁目,22,2階建,https://www.chintaistyle.jp/result/detail_201018642991.html?jis=01205
ハイツ宮下,高砂町１丁目,22,2階建,https://www.chintaistyle.jp/result/detail_201018642993.html?jis=01205
ハイツ宮下,高砂町１丁目,22,2階建,https://www.chintaistyle.jp/result/detail_201018642993.html?jis=01205
エルパティオ,東町２丁目,23,3階建,https://www.chintaistyle.jp/result/detail_201018755460.html?jis=01205
エルパティオ,東町２丁目,23,3階建,https://www.chintaistyle.jp/result/detail_201018755460.html?jis=01205
ハイツミクミン,高砂町４丁目,23,2階建,https://www.chintaistyle.jp/result/detail_201018771018.html?jis=01205
シティハイムロゼオ,高砂町４丁目,23,2階建,https://www.chintaistyle.jp/result/detail_201018920483.html?jis=01205
みさきアパートＢ,御崎町２丁目,23,2階建,https://www.chintaistyle.jp/result/detail_201017430730.html?jis=01205
ベルコート,中島町３丁目,24,3階建,https://www.chintaistyle.jp/result/detail_201018921164.html?jis=01205
マンショングロット,宮の森町１丁目,24,2階建,https://www.chintaistyle.jp/result/detail_201018771133.html?jis=01205
ピュアＷＥＳＴⅡ,本輪西町１丁目,24,2階建,https://www.chintaistyle.jp/result/detail_201018771566.html?jis=01205
ウエストハイツ,日の出町２丁目,24,2階建,https://www.chintaistyle.jp/result/detail_201018449020.html?jis=01205
ハイツ清水丘,増市町１丁目,25,2階建,https://www.chintaistyle.jp/result/detail_201018920519.html?jis=01205
クレストコート母恋,母恋北町１丁目,25,3階建,https://www.chintaistyle.jp/result/detail_201018920780.html?jis=01205
ＪＵＮＯ’Ｓ,高砂町４丁目,26,2階建,https://www.chintaistyle.jp/result/detail_201018771019.html?jis=01205
チェリーハイツ（道路側）,母恋南町１丁目,26,2階建,https://www.chintaistyle.jp/result/detail_201018920915.html?jis=01205
メゾンシエナⅠ,東町２丁目,26,2階建,https://www.chintaistyle.jp/result/detail_201018995285.html?jis=01205
プチメゾンミントハウス,輪西町１丁目,26,2階建,https://www.chintaistyle.jp/result/detail_201018958368.html?jis=01205
コーポアベニュー,東町５丁目,27,3階建,https://www.chintaistyle.jp/result/detail_201018798939.html?jis=01205
コーポ東園１０,高砂町３丁目,27,2階建,https://www.chintaistyle.jp/result/detail_201019077016.html?jis=01205
メゾン８番館,中島町１丁目,27,2階建,https://www.chintaistyle.jp/result/detail_201018771062.html?jis=01205
アンデルセン２号館,港北町１丁目,27,2階建,https://www.chintaistyle.jp/result/detail_201018945192.html?jis=01205
Ｍハイツ３,水元町,27,2階建,https://www.chintaistyle.jp/result/detail_201018771541.html?jis=01205
北町ハイツＩ,母恋北町１丁目,27,2階建,https://www.chintaistyle.jp/result/detail_201018771085.html?jis=01205
石崎コーポⅡ,高砂町５丁目,28,2階建,https://www.chintaistyle.jp/result/detail_201019101675.html?jis=01205
はやぶさハイツ,高砂町５丁目,28,2階建,https://www.chintaistyle.jp/result/detail_201018718031.html?jis=01205
ハイツキャロット,水元町,28,2階建,https://www.chintaistyle.jp/result/detail_201018920565.html?jis=01205
ブロッサム３７８,知利別町３丁目,28,2階建,https://www.chintaistyle.jp/result/detail_201018862878.html?jis=01205
クローバーコート,東町５丁目,28,2階建,https://www.chintaistyle.jp/result/detail_201018920504.html?jis=01205
コーポ大友Ⅱ,東町５丁目,28,2階建,https://www.chintaistyle.jp/result/detail_201018771502.html?jis=01205
クリスタルハイツ１,高砂町５丁目,28,2階建,https://www.chintaistyle.jp/result/detail_201019038321.html?jis=01205
川辺ハイツ,高砂町３丁目,28,2階建,https://www.chintaistyle.jp/result/detail_201018771438.html?jis=01205
アーク,高砂町２丁目,29,3階建,https://www.chintaistyle.jp/result/detail_201018763140.html?jis=01205
クレールメゾン,日の出町１丁目,29,2階建,https://www.chintaistyle.jp/result/detail_201019038328.html?jis=01205
北拓ハイツ高砂,高砂町１丁目,29,4階建,https://www.chintaistyle.jp/result/detail_201018912012.html?jis=01205
コーポ北栄,母恋北町２丁目,29,3階建,https://www.chintaistyle.jp/result/detail_201018921183.html?jis=01205
ハッピーハイツⅡ,寿町２丁目,29,2階建,https://www.chintaistyle.jp/result/detail_201018920449.html?jis=01205
コーポハピネス,中島町２丁目,29,2階建,https://www.chintaistyle.jp/result/detail_201018820488.html?jis=01205
ハイツタイキ,寿町１丁目,30,2階建,https://www.chintaistyle.jp/result/detail_201018920849.html?jis=01205
キャメルハウスⅢ,高砂町２丁目,30,2階建,https://www.chintaistyle.jp/result/detail_201018920879.html?jis=01205
ＳＳコート,宮の森町４丁目,30,2階建,https://www.chintaistyle.jp/result/detail_201018771138.html?jis=01205
スカイハイツ,高砂町１丁目,30,2階建,https://www.chintaistyle.jp/result/detail_201018920471.html?jis=01205
ミナトマンション,日の出町２丁目,30,3階建,https://www.chintaistyle.jp/result/detail_201018771767.html?jis=01205
プラザユーホーム,母恋北町１丁目,31,5階建,https://www.chintaistyle.jp/result/detail_201019083684.html?jis=01205
ハイツエムケー３,新富町１丁目,31,2階建,https://www.chintaistyle.jp/result/detail_201018920867.html?jis=01205
プラザマンション中島,中島町１丁目,31,3階建,https://www.chintaistyle.jp/result/detail_201018901390.html?jis=01205
パークハイツ,東町５丁目,31,2階建,https://www.chintaistyle.jp/result/detail_201018920907.html?jis=01205
コーポ室本,水元町,31,3階建,https://www.chintaistyle.jp/result/detail_201018662359.html?jis=01205
コーポ室本,水元町,31,3階建,https://www.chintaistyle.jp/result/detail_201018662359.html?jis=01205
母恋南町サンハイツ,母恋南町３丁目,31,2階建,https://www.chintaistyle.jp/result/detail_201018771513.html?jis=01205
ハイツＭＯＴＯ,幸町,31,3階建,https://www.chintaistyle.jp/result/detail_201018920858.html?jis=01205
Ａ２,中島町３丁目,31,2階建,https://www.chintaistyle.jp/result/detail_201018771490.html?jis=01205
コロネ,水元町,32,2階建,https://www.chintaistyle.jp/result/detail_201019101677.html?jis=01205
ハイツＺ,高砂町５丁目,32,2階建,https://www.chintaistyle.jp/result/detail_201019101689.html?jis=01205
ハイツキャンパス,高砂町５丁目,32,2階建,https://www.chintaistyle.jp/result/detail_201019004122.html?jis=01205
本町サンハイツ,本町２丁目,32,2階建,https://www.chintaistyle.jp/result/detail_201018763146.html?jis=01205
コスモスコーポ,輪西町２丁目,32,2階建,https://www.chintaistyle.jp/result/detail_201018921006.html?jis=01205
コロン,水元町,32,2階建,https://www.chintaistyle.jp/result/detail_201018920981.html?jis=01205
グリーンハイツＥＭＵ,水元町,33,3階建,https://www.chintaistyle.jp/result/detail_201019101682.html?jis=01205
プラザマンション水元,水元町,33,3階建,https://www.chintaistyle.jp/result/detail_201018988683.html?jis=01205
ＣＡＳＡＢＥＡＲＥ,輪西町１丁目,34,3階建,https://www.chintaistyle.jp/result/detail_201018771374.html?jis=01205
メゾン靜,東町５丁目,34,2階建,https://www.chintaistyle.jp/result/detail_201019077022.html?jis=01205
ハイツもず,高砂町３丁目,34,2階建,https://www.chintaistyle.jp/result/detail_201018698691.html?jis=01205
アヴェニュースクエア水元,水元町,34,2階建,https://www.chintaistyle.jp/result/detail_201018705107.html?jis=01205
ハイツメモリーＢ,水元町,34,2階建,https://www.chintaistyle.jp/result/detail_201018920544.html?jis=01205
フローラルハイムＡ,天神町,34,2階建,https://www.chintaistyle.jp/result/detail_201018976095.html?jis=01205
マイタイム,寿町２丁目,34,2階建,https://www.chintaistyle.jp/result/detail_201018920450.html?jis=01205
メゾン・ホワイト　Ａ－２,高砂町３丁目,35,2階建,https://www.chintaistyle.jp/result/detail_201017057818.html?jis=01205
メゾン・ホワイト　Ａ－２,高砂町３丁目,35,2階建,https://www.chintaistyle.jp/result/detail_201017057818.html?jis=01205
ハイツメモリーＡ,水元町,35,3階建,https://www.chintaistyle.jp/result/detail_201018920568.html?jis=01205
ハウスＹＯＵ６６,水元町,35,2階建,https://www.chintaistyle.jp/result/detail_201018883164.html?jis=01205
クリスタルハイツ,水元町,35,2階建,https://www.chintaistyle.jp/result/detail_201018920579.html?jis=01205
ハイツとまと,高砂町５丁目,36,2階建,https://www.chintaistyle.jp/result/detail_201019038322.html?jis=01205
ゴールデンハイツＡ,水元町,36,3階建,https://www.chintaistyle.jp/result/detail_201018936574.html?jis=01205
カレッジマンション大志,高砂町５丁目,36,2階建,https://www.chintaistyle.jp/result/detail_201017430640.html?jis=01205
ハイツカレッヂＢ,水元町,37,2階建,https://www.chintaistyle.jp/result/detail_201018662356.html?jis=01205
ハイツカレッヂＢ,水元町,37,2階建,https://www.chintaistyle.jp/result/detail_201018662356.html?jis=01205
ハイツ高村,輪西町１丁目,38,3階建,https://www.chintaistyle.jp/result/detail_201019101685.html?jis=01205
御崎ハイツ,御崎町２丁目,39,3階建,https://www.chintaistyle.jp/result/detail_201018771770.html?jis=01205
第２パルコビル,中島町１丁目,40,3階建,https://www.chintaistyle.jp/result/detail_201018771751.html?jis=01205
宮崎ハイツ,高砂町５丁目,41,3階建,https://www.chintaistyle.jp/result/detail_201018771313.html?jis=01205
ＲＥＬＩＥＦ,西小路町,41,2階建,https://www.chintaistyle.jp/result/detail_201018771332.html?jis=01205
住吉アパート,母恋北町１丁目,41,3階建,https://www.chintaistyle.jp/result/detail_201018662393.html?jis=01205
住吉アパート,母恋北町１丁目,41,3階建,https://www.chintaistyle.jp/result/detail_201018662393.html?jis=01205
末広荘,高砂町１丁目,41,2階建,https://www.chintaistyle.jp/result/detail_201018771431.html?jis=01205
仙石マンション,東町２丁目,42,3階建,https://www.chintaistyle.jp/result/detail_201018771758.html?jis=01205
ハトヤ第１５ビル,東町４丁目,42,9階建,https://www.chintaistyle.jp/result/detail_201018677209.html?jis=01205
ソレアードピエテ,天神町,42,3階建,https://www.chintaistyle.jp/result/detail_201018921156.html?jis=01205
孝武マンション,高砂町２丁目,42,2階建,https://www.chintaistyle.jp/result/detail_201018771010.html?jis=01205
ルミエール宮の森,宮の森町３丁目,44,3階建,https://www.chintaistyle.jp/result/detail_201019083702.html?jis=01205
室蘭東町第一住宅,東町４丁目,44,6階建,https://www.chintaistyle.jp/result/detail_201018920770.html?jis=01205
第５羽立コーポ,築地町,45,3階建,https://www.chintaistyle.jp/result/detail_201018771059.html?jis=01205
サンハイツかどや,知利別町１丁目,46,5階建,https://www.chintaistyle.jp/result/detail_201018920753.html?jis=01205
トーコーハイツ,高砂町２丁目,46,2階建,https://www.chintaistyle.jp/result/detail_201018920873.html?jis=01205
コーポ・ベスト,日の出町２丁目,46,4階建,https://www.chintaistyle.jp/result/detail_201018920776.html?jis=01205
眞島アパート,清水町２丁目,47,2階建,https://www.chintaistyle.jp/result/detail_201014054955.html?jis=01205
眞島アパート,清水町２丁目,47,2階建,https://www.chintaistyle.jp/result/detail_201014054955.html?jis=01205
ＫＴハイツ,沢町,47,5階建,https://www.chintaistyle.jp/result/detail_201017828463.html?jis=01205
曙ハイツ,日の出町１丁目,47,2階建,https://www.chintaistyle.jp/result/detail_201018771078.html?jis=01205
室蘭市白鳥台４丁目 2階建 築47年,白鳥台４丁目,47,2階建,https://www.chintaistyle.jp/result/detail_201018771833.html?jis=01205
真島アパート,清水町２丁目,48,2階建,https://www.chintaistyle.jp/result/detail_201018920464.html?jis=01205
日の出アパート,日の出町１丁目,48,2階建,https://www.chintaistyle.jp/result/detail_201018677204.html?jis=01205
コーポあじさい,山手町２丁目,49,3階建,https://www.chintaistyle.jp/result/detail_201018920793.html?jis=01205
ＰＯＰＯＬＡＲＥ,母恋北町２丁目,49,2階建,https://www.chintaistyle.jp/result/detail_201018771086.html?jis=01205
ハイツ中村,高砂町４丁目,49,2階建,https://www.chintaistyle.jp/result/detail_201018920887.html?jis=01205
楽山荘,宮の森町３丁目,50,2階建,https://www.chintaistyle.jp/result/detail_201018771562.html?jis=01205
ビレッジハウス白鳥台1号棟,白鳥台５丁目,51,4階建,https://www.chintaistyle.jp/result/detail_201018852003.html?jis=01205
ビレッジハウス白鳥台1号棟,白鳥台５丁目,51,4階建,https://www.chintaistyle.jp/result/detail_201018852003.html?jis=01205
ビレッジハウス白鳥台１号棟,白鳥台５丁目,51,4階建,https://www.chintaistyle.jp/result/detail_201018976088.html?jis=01205
港南アパートメント,港南町１丁目,51,3階建,https://www.chintaistyle.jp/result/detail_201018920746.html?jis=01205
宮前マンション,母恋南町２丁目,51,2階建,https://www.chintaistyle.jp/result/detail_201018771512.html?jis=01205
本輪西アパート,本輪西町１丁目,55,2階建,https://www.chintaistyle.jp/result/detail_201018771142.html?jis=01205
エムケーハイツ,港南町２丁目,57,2階建,https://www.chintaistyle.jp/result/detail_201017430447.html?jis=01205
室蘭市宮の森町３丁目 1階建 築59年,宮の森町３丁目,59,1階建,https://www.chintaistyle.jp/result/detail_201018771412.html?jis=01205
